stem	back	front	log_odds_back	stem_freq	language	log_odds_adj	transcription	trial_type	target	prompt	stimulus	choices
bakter	366	268	0.3116463528905096	634	de	0.3106504684527312	bakter	pl	bakterok	<p>Ez egy bakter. Azok ott bakterok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bakterok</p>	
bakter	366	268	0.3116463528905096	634	de	0.3106504684527312	bakter	dat	bakternak	<p>Ez egy bakter. Elneveztem a kutyámat bakternak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bakternak</p>	
sumer	985	684	0.3646837235495385	1669	akk	0.3642375163404102	šumer	pl	sumerok	<p>Ez egy sumer. Azok ott sumerok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">sumerok</p>	
sumer	985	684	0.3646837235495385	1669	akk	0.3642375163404102	šumer	dat	sumernak	<p>Ez egy sumer. Elneveztem a kutyámat sumernak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">sumernak</p>	
klozet	388	185	0.7406495145449485	573	fr	0.737832669905245	klozet	pl	klozetok	<p>Ez egy klozet. Azok ott klozetok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">klozetok</p>	
klozet	388	185	0.7406495145449485	573	fr	0.737832669905245	klozet	dat	klozetnak	<p>Ez egy klozet. Elneveztem a kutyámat klozetnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">klozetnak</p>	
samesz	484	188	0.9456429438866824	672	yi	0.9424018758778407	šames	pl	sameszok	<p>Ez egy samesz. Azok ott sameszok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">sameszok</p>	
samesz	484	188	0.9456429438866824	672	yi	0.9424018758778407	šames	dat	samesznak	<p>Ez egy samesz. Elneveztem a kutyámat samesznak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">samesznak</p>	
malter	667	222	1.1001126640433443	889	de	1.097116402076527	malter	pl	malterok	<p>Ez egy malter. Azok ott malterok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">malterok</p>	
malter	667	222	1.1001126640433443	889	de	1.097116402076527	malter	dat	malternak	<p>Ez egy malter. Elneveztem a kutyámat malternak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">malternak</p>	
muter	745	102	1.9884114050952884	847	yi	1.979996611974125	muter	pl	muterok	<p>Ez egy muter. Azok ott muterok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">muterok</p>	
muter	745	102	1.9884114050952884	847	yi	1.979996611974125	muter	dat	muternak	<p>Ez egy muter. Elneveztem a kutyámat muternak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">muternak</p>	
kolesz	2920	320	2.211017899468555	3240	hu	2.208240179257725	koles	pl	koleszok	<p>Ez egy kolesz. Azok ott koleszok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">koleszok</p>	
