stem	transcription	svm_weight_01	svm_weight_1	knn_2_weight	yi_la_weight	x_phon	y_phon	ends_labial_stop	ends_sibilant	ends_coronal_sonorant	ends_two_consonants	language	year	back	front	log_odds_back	stem_freq	stem_varies	sd_back
brojler	brojler	-3.835417542996819	-3.4061884063343912	-2.2596318752588216	0.507084308318449	1.0756047191800182	-1.5181657981031855	FALSE	FALSE	TRUE	FALSE	en	NA	1	255	-5.541263545158426	256	TRUE	0.998044963916957
bróker	bróker	-3.835417542996819	-3.249520929158908	-2.233156586562283	0.4616134693755288	1.4854984869211956	0.5164773692440168	FALSE	FALSE	TRUE	FALSE	en	NA	28	8545	-5.720897085374487	8573	TRUE	5.282854351498676
brúder	brúder	-1.8354175429968196	-2.548520099093882	-4.332289276495675	0.44855959805360074	1.579852818099047	0.3790683377217299	FALSE	FALSE	TRUE	FALSE	de	NA	2	8	-1.3862943611198906	10	TRUE	1.2649110640673518
bóher	bóher	-3.425842267529001	-3.426795586064576	-3.27361771147469	0.6214849343026171	1.0182013905609073	1.0756339920603504	FALSE	FALSE	TRUE	FALSE	NA	NA	0	33	-Inf	33	FALSE	0
charter	charter	-3.835417542996819	-3.749985450194538	-0.8472978603872037	0.5004312261369442	1.7162624787508418	-1.6073584083029555	FALSE	FALSE	TRUE	FALSE	en	NA	3	1950	-6.476972362889683	1953	TRUE	1.7307199961487487
codec	codec	-3.835417542996819	-3.9262772094110705	-2.717528945056754	0.5807127543828486	-0.5380742835665479	1.2027718699456404	FALSE	FALSE	FALSE	FALSE	en	NA	1	353	-5.8664680569332965	354	TRUE	0.9985865717317342
collen	collen	-2.178873902849656	-3.176457789383573	-7.2098024278918125	0.33192675436992114	-0.25728283504127214	-1.2711927104363991	FALSE	FALSE	TRUE	FALSE	NA	NA	0	7	-Inf	7	FALSE	0
dodzsem	dodžem	-3.835417542996819	-4.505805534444772	-5.544922656589102	0.5687614913507028	0.08046051529851864	-0.18333275761825593	TRUE	FALSE	FALSE	FALSE	en	NA	3	653	-5.382964840608321	656	TRUE	1.728085787165926
doglen	doglen	-3.835417542996819	-3.886320820219208	-5.834810737062605	0.4560193210975584	-0.25360303734158207	-0.3675373452080158	FALSE	FALSE	TRUE	FALSE	NA	NA	0	95	-Inf	95	FALSE	0
dojen	dojen	-3.835417542996819	-4.477808004915978	-6.082218910376446	0.5238270426303545	-0.20887941533083473	0.8376067863724741	FALSE	FALSE	TRUE	FALSE	mo	NA	8	3075	-5.951618638560782	3083	TRUE	2.824755033454569
dolmen	dolmen	-3.835417542996819	-4.959266266471395	-5.834810737062605	0.4156590939192275	-0.01555286768251972	-0.7261559841429598	FALSE	FALSE	TRUE	FALSE	NA	NA	0	342	-Inf	342	FALSE	0
doppler	doppler	-3.809107788118266	-3.8091859311054432	-1.1724920284803182	0.5825672740783876	0.9607467364512208	-1.3319393338224517	FALSE	FALSE	TRUE	FALSE	de	NA	6	348	-4.060443010546419	354	TRUE	2.428642642453962
dublett	dublett	-3.835417542996819	-3.9580600177140455	-4.4148164574968725	0.5575409542683321	-2.8546978319698564	-0.4305541161054101	FALSE	FALSE	FALSE	TRUE	NA	NA	0	100	-Inf	100	FALSE	0
duplex	dupleks	-1.8354175429968196	-2.119832524332354	-1.842531794601478	0.5054127793648944	-1.701507278286593	-0.34339717010593496	FALSE	TRUE	FALSE	TRUE	NA	NA	2	0	Inf	2	FALSE	0
dózer	dózer	-3.5557706297134057	-3.5564250917412568	-1.2671735326218472	0.5956463299590189	1.0172501026206542	1.099922519241508	FALSE	FALSE	TRUE	FALSE	en	NA	130	788	-1.8019636394022969	918	TRUE	10.563636397725697
dzsóker	džóker	-1.895531367543188	-2.543965122560519	-4.455853482659823	0.5333669382081533	1.5056022393752762	0.579622509432532	FALSE	FALSE	TRUE	FALSE	NA	NA	0	124	-Inf	124	FALSE	0
facet	facet	-3.835417542996819	-1.943738464055883	3.3288680844666585	0.6603641635573955	-0.2833428035883395	1.0636332429254636	FALSE	FALSE	FALSE	FALSE	NA	NA	0	52	-Inf	52	FALSE	0
faglett	faglett	-1.8354175429968196	-2.1567048562459217	-4.438862575890202	0.6503915276610148	-2.5511028442584074	-0.7641838602405495	FALSE	FALSE	FALSE	TRUE	NA	NA	0	21	-Inf	21	FALSE	0
falzett	falzett	-2.9913112902717627	-2.990846192013109	-3.268628607433801	0.6386523303444319	-2.3973178823583177	-1.3988738212714915	FALSE	FALSE	FALSE	TRUE	it	NA	31	212	-1.9225990701868665	243	TRUE	5.20050646473129
facser	fačer	-1.8354159924954632	-0.8856853772256446	-0.40127569351341374	0.6582593463440976	1.1323199492567635	0.8450671664444549	FALSE	FALSE	TRUE	FALSE	NA	NA	0	2	-Inf	2	FALSE	0
flóbert	flóbert	-2.23954790640911	-2.2395997821892384	-2.7334557245376327	0.42826697406286246	-0.5143427446980934	0.5399099468714902	FALSE	FALSE	FALSE	TRUE	fr	NA	5	50	-2.3025850929940455	55	TRUE	2.1320071635561044
gatyesz	gaṯes	-1.8354175429968191	-0.4525647935660624	-2.2808062377177367	0.6192068330873438	0.32663969021893896	1.058260369402662	FALSE	TRUE	FALSE	FALSE	hu	NA	22	9	0.8938178760220965	31	TRUE	2.527270617522696
gukker	gukker	-1.8354168771606727	-1.4623972600751096	-1.9354021714568983	0.5580487734412194	1.0873304023885326	-0.3767269549691772	FALSE	FALSE	TRUE	FALSE	de	NA	18	52	-1.0608719606852628	70	TRUE	3.656696401320264
gólem	gólem	-3.835417542996819	-4.168912206913976	0.6303144699918144	0.6021332329246454	-0.1742766588783383	0.8821171186533252	TRUE	FALSE	FALSE	FALSE	yi	NA	1	1736	-7.459338895220296	1737	TRUE	0.999712105939046
halef	halef	-1.8354175429968196	-1.154662018313266	4.495459135189906	0.7348580154777847	-0.05749277967874928	0.4221358372800811	FALSE	FALSE	FALSE	FALSE	ar	NA	21	29	-0.322773392263051	50	TRUE	3.4899856733230297
hardver	hardver	-3.835417542996819	-3.8534305964835616	-2.2048069920574354	0.6403662887380875	1.469255594696122	-1.5431031738900514	FALSE	FALSE	TRUE	FALSE	en	NA	116	33523	-5.6663968582915585	33639	TRUE	10.751743491594286
hosztesz	hostes	-3.835417542996819	-4.2168570630570414	-3.00622023396492	0.5282014703685838	0.4087237625563625	-0.5072248605134343	FALSE	TRUE	FALSE	FALSE	NA	NA	0	898	-Inf	898	FALSE	0
jampec	jampec	-1.8354175429968196	-1.4678888836345498	-2.3368741664726778	0.7696258124978143	-0.3629372192438418	-0.2889679738115108	FALSE	FALSE	FALSE	FALSE	de	NA	183	281	-0.4288685164923248	464	TRUE	10.527365816503329
junker	junker	-2.230937561693484	-2.2309856158396073	-2.492802226790781	0.5417113664854977	1.0656675211691953	-0.4643436194956864	FALSE	FALSE	TRUE	FALSE	de	NA	25	218	-2.1656192379208883	243	TRUE	4.7358192046460825
kadet	kadet	-1.8354175429968196	-1.7805076214131128	-4.307882377391616	0.6381155187857739	-0.5491381195927182	0.9307912298927392	FALSE	FALSE	FALSE	FALSE	fr	NA	158	416	-0.9680902272342964	574	TRUE	10.700874300794013
karcer	karcer	-1.5860653342195232	-2.3962412461270217	-1.6119504765699837	0.6196135852933127	0.9584746932236238	-1.280908992860046	FALSE	FALSE	TRUE	FALSE	la	NA	36	93	-0.949080554697146	129	TRUE	5.094456631682423
karter	karter	-1.5860653342194986	-2.7009200759323706	-2.082485684061064	0.4003669113680909	0.9854433593740825	-1.253258619754304	FALSE	FALSE	TRUE	FALSE	en	NA	113	232	-0.7193495529539694	345	TRUE	8.717132888576463
