test	training	phon_dist	edit_dist
azbest	tornes	4.141859010011124	5
azbest	torpej	4.5460564648551305	6
azbest	totem	4.689397126127339	5
azbest	transfer	5.8959588798298475	7
azbest	traverz	4.827962937876572	6
azbest	tróger	4.843960708222168	6
azbest	tábes	2.9236842105263157	3
azbest	tájpej	4.58128078817734	6
azbest	valcer	4.173217674166441	5
azbest	valdenš	4.062919140338495	5
azbest	vamzer	4.422007722007722	5
azbest	varšekk	4.171228878648233	5
azbest	vátes	3.728867102396514	4
azbest	začek	4.468484848484849	5
azbest	ágenš	3.775975975975976	5
azbest	ájer	3.9761904761904763	5
azbest	ámen	3.848039215686274	5
azbest	ómen	4.052584670231729	5
azbest	šakter	4.402048319327731	5
azbest	šaller	4.255760368663594	5
azbest	šames	3.395945945945946	4
azbest	škanzen	5.413354531001589	6
azbest	šláger	4.816222443641799	6
azbest	šparherd	4.729100027107617	6
azbest	šrapnel	5.403273809523809	6
azbest	štukker	6.096027963971512	7
azbest	šubler	4.518713091081512	5
azbest	šumer	4.043348543348543	5
azbest	šuster	4.753862835456763	6
azbest	šábes	2.895945945945946	3
azbest	šóder	4.288181970790666	5
azbest	šólet	3.837951556044123	4
azbest	žakett	3.3393939393939394	4
azbest	žoržett	3.829640541542655	5
azbest	žáner	4.386607142857143	5
bagett	azbest	3.1363636363636362	4
bagett	bagett	0	0
bagett	bagger	2.7662267839687193	3
bagett	bakter	3.2818181818181817	4
bagett	balek	2.643076923076923	3
bagett	balett	0.9230769230769232	1
bagett	bankett	1.5333333333333332	2
bagett	barches	4.360919540229885	5
bagett	barrel	3.5965617715617717	4
bagett	barter	3.6715617715617714	4
bagett	bojler	4.214174503657262	5
bagett	borcet	3.443766578249337	4
bagett	bovden	4.085395537525355	5
bagett	brojler	5.214174503657262	6
bagett	bróker	4.16969696969697	5
bagett	brúder	4.3969696969696965	5
bagett	bukfenc	3.238899430740038	5
bagett	bunker	4.156011730205279	5
bagett	burlesk	4.083937138130687	5
bagett	bóher	3.4363636363636365	4
bagett	charter	5.407113855643267	6
bagett	codec	3.3402974983096687	5
bagett	collen	4.986413637072866	6
bagett	docenš	3.7336166650568274	5
bagett	dodžem	4.822235822419801	6
bagett	doglen	3.953252680382498	5
bagett	dojen	4.048252680382498	5
bagett	dolmen	4.878252680382498	6
bagett	doppler	5.792118226600985	7
bagett	drukker	5.8143861144417315	7
bagett	dublett	3.0670506912442397	4
bagett	duett	2.51705069124424	3
bagett	dupleks	4.665622119815668	6
